location,count
"Gander Airport, ...",4
within Venezuela,4
near Teterboro Airpor...,4
Havana-Rancho Bo...,4
Beni Airport (BNC),4
near Pskov Airport (PKV),4
Islamabad Intern...,4
Okinawa-Kadena A...,4
Lyon-Bron Airpor...,4
Da Nang Air Base...,4
Bournemouth Inte...,4
near Oklahoma City-Ti...,4
near Warazup,4
Kansas City Down...,4
Anchorage-Ted St...,4
near Biak,4
near Kharkov Airport ...,4
"Newark, NJ",4
near Kinshasa-N'Djili...,4
Algiers-Houari B...,4
Ambon-Pattimura ...,4
Okinawa-Yontan F...,4
Taichung-Ching C...,4
Cape Town Intern...,4
Balikpapan-Sepin...,4
Leipzig Airport ...,4
Trinidad,4
near Libreville Airpo...,4
Sibu Airport (SBW),4
Chita Airport (HTA),4
Guam-A.B. Won Pa...,4
Tripoli-Castel B...,4
near Paris-Le Bourget...,4
near Moskva-Bykovo Ai...,4
Guatemala City,4
near Bordeaux-MÃ©rign...,4
Lough Erne,4
Jakarta-Halim Pe...,4
within Cambodia,4
near Singapore-Seleta...,4
"Cleveland, OH",4
Almaty Airport (...,4
Seoul-Gimpo (Kim...,4
Madang Airport (...,4
Manila ?,4
Tamanrasset-Ague...,4
San Francisco Ba...,4
Fukuoka Airport ...,4
Liverpool Intern...,4
Jeffersonville-C...,4
Tulsa Internatio...,4
Abingdon RAF Sta...,4
Kuching Airport ...,4
Ottawa/Macdonald...,4
Kotzebue Airport...,4
"near Albuquerque, NM",4
near Nairobi,4
Ergolding Advanc...,4
Dinard-Pleurtuit...,4
near Hanoi,4
Adler/Sochi Airp...,4
KÃ¶ln/Bonn Airpo...,4
near Alma-Ata Airport...,4
near Sibret,4
near Luang Prabang,4
Amman-Marka Inte...,4
"Darwin, NT",4
Sydney-Mascot Ai...,4
Greensboro/High ...,4
Damascus-Mezzeh ...,4
Berlin-Tegel Air...,4
near Algiers,4
Christiansted Ha...,4
Brazzaville-Maya...,4
MitÃº Airport (MVP),4
"near Memphis, TN",4
"Manaus, AM",4
Toluca Airport (...,4
near Kirensk,4
Baghdad,4
Katowice,4
Boise Air Termin...,4
Tangier Airport ...,4
Baton Rouge-Ryan...,4
SÃ£o Paulo-Virac...,4
near An Loc,4
Normandy,4
Bishkek Airport ...,4
Las Palmas-Airpo...,4
near Santa Ana-El Tor...,4
near Groesbeek,4
Limestone-Loring...,4
Edinburgh-Turnho...,4
Pitu/Morotai Isl...,4
Lukla Airport (LUA),4
Luena Airport (LUO),4
Brindisi-Papola ...,4
Colombo-Ratmalan...,4
near Milwaukee-Genera...,4
Sharjah Airport ...,4
Bourgas Airport ...,4
Minsk-1 Internat...,4
Oakington RAF St...,4
near San Juan,4
Wunstorf RAF Sta...,4
near Kuito,4
OrlÃ©ans/Bricy A...,4
Saratov Airport ...,4
English Channel,4
Memphis Municipa...,4
Hong Kong-Chek L...,4
"Grenada AAB, MS",4
near Barcelona,4
Port Moresby-Jac...,4
near Chicago-O'Hare I...,4
near Dakar-Yoff Airpo...,4
"near Grenada AAF, MS",4
near Luzon Island-Cub...,4
Binghamton Airpo...,4
Bellevue-Offutt ...,4
within China,4
CuraÃ§ao-Dr. Alb...,4
near Mineralnye Vody ...,4
Chungju (K-41) A...,4
Biak,4
Khanty-Mansiysk ...,4
Shanghai-Hongqia...,4
La Ronge Airport...,4
An Khe,4
"Kansas City, MO",4
Pickle Lake Airp...,4
Chandigarh Airpo...,4
near BogotÃ¡,4
near Moskva-Domodedov...,4
Ufa Airport (UFA),4
"Elizabeth City, NC",4
Lord Howe Island...,4
Orchid Island Ai...,4
"near Manaus, AM",4
Leithagebirge,4
Toronto Internat...,4
near Hue,4
Hsinching,4
near Sharjah Airport ...,4
near Dhaka,4
near Waalhaven,4
Bratsk Airport (...,4
Dinjan Airport,4
"Sedona Airport, ...",4
Hanoi,4
Bilbao Airport (...,4
Hyderabad-Begump...,4
Douala Airport (...,4
Iwakuni MCAS,4
"Detroit, MI",4
near Douala Airport (...,4
Agartala,4
near Tezpur,4
Kaduna Airport (...,4
Santiago-Arturo ...,4
Freetown-Hasting...,4
near Chita,4
near Chicago-Midway A...,4
Istanbul-YesilkÃ...,4
"near Ketchikan, AK",4
Agartala Airport...,4
near Agadir,4
Hall Beach Airpo...,4
near Hong Kong-Kai Ta...,4
Tallinn-Ãlemist...,4
London City Airp...,4
near Novosibirsk-Seve...,4
Istanbul-Sabiha ...,4
Ankara-Etimesgut...,4
Patuxent River N...,4
South West Pacific,4
Johannesburg/Ger...,4
near Taipei,4
"Aleutians, AK",4
Jalalabad Airpor...,4
Vorkuta Airport ...,4
Bari Airport (BRI),4
Caticlan-Malay A...,4
near Yangon-Mingalado...,4
near Rotterdam,4
"near Tampa, FL",4
near Chabua Airfield,4
CancÃºn Airport ...,4
Kos Airport (KGS),4
Mirny Airport (MJZ),4
Lubumbashi-Luano...,4
Bristol-Whitchur...,4
Le Touquet Airpo...,4
Paramaribo-Zande...,4
Erding Air Base,4
unknown location,4
Ust-Kuyga Airpor...,4
Shiraz Airport (...,4
"Atlanta, GA",4
"near Las Vegas, NV",4
Kampot Airport (...,4
Auckland Interna...,4
near Glasgow-Prestwic...,4
near Nadzab,4
Montreal-Pierre ...,4
near Kandahar,4
near Retie,4
Johannesburg-Ran...,4
"Brunswick NAS, M...",4
Tiksi Airport (IKS),4
near Mohanbari Air Ba...,4
near Bukavu-Kavumu Ai...,4
NÃ¼rnberg Airpor...,4
Novosibirsk-Tolm...,4
Lugano Airport (...,4
Algiers-Dar el B...,4
Kishinev Airport...,4
Gaudo,4
Porto Alegre-Sal...,4
Benghazi,4
Chengkung,4
"Perth Airport, W...",4
Tiruchirappalli-...,4
near Paramaribo-Zande...,4
Teterboro Airpor...,4
Houston-Hobby Ai...,4
near Port-au-Prince A...,4
Kinshasa-N'Dolo ...,4
Ledo,4
"Broome Airport, ...",4
Santa Cruz-El Tr...,4
Aspen-Pitkin Cou...,4
Tulihal Air Base...,4
near Bratislava-Ivank...,4
Tucson Internati...,4
North Atlantic,4
Wadi Halfa Airpo...,4
near Bremen Airport (...,4
near Khartoum-Civil A...,4
Fairfield-Travis...,4
Nairobi,4
Austin-Robert Mu...,4
near Charallave-Ãsca...,4
near Kaduna Airport (...,4
Fuzhou Changle I...,4
Raleigh/Durham A...,4
near Bombay-Santacruz...,4
near Shannon Airport ...,4
Sept-Ãles Airpo...,4
near Lawrenceville-Ge...,4
ReykjavÃ­k-Naval...,3
Waterville-Rober...,3
Moline-Quad-City...,3
Massawa Airport ...,3
near Alaska,3
Lyneham RAF Stat...,3
Gusap,3
near Uli Airstrip,3
Azaiba Airfield,3
Oostende Airport...,3
Beihan Airport (...,3
within Laos,3
